type,CpdID,hit,SMILES
FDA-approved,,,CC[C@@H](NC(=O)N1C(=O)C(Cc2cc(C)nc(N)c2)C1C(=O)N(C)c1ccn(C)n1)c1cccc(C)c1
FDA-approved,,,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
FDA-approved,,,Cc1ccc2c(c1)c(/C=C/c1cc[n+](C)cc1)c(C)n2C
FDA-approved,,,COc1cccc2sc(Nc3nnc(-c4cccs4)o3)nc12
FDA-approved,,,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O
FDA-approved,,,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
FDA-approved,,,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2CC1C(=O)NC(C)(C)C
FDA-approved,,,CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1
FDA-approved,,,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1
FDA-approved,,,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
FDA-approved,,,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O
FDA-approved,,,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O
FDA-approved,,,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
FDA-approved,,,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
FDA-approved,,,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
FDA-approved,,,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
FDA-approved,,,C=c1[nH]c(=Cc2c(O)[nH]c3ccc(F)cc23)c(C)c1C(=O)NCCN(CC)CC
FDA-approved,,,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N
FDA-approved,,,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
FDA-approved,,,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
FDA-approved,,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
FDA-approved,,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
FDA-approved,,,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
FDA-approved,,,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
FDA-approved,,,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
FDA-approved,,,NCCc1c[nH]cn1
FDA-approved,,,NCCS
FDA-approved,,,NCCO
FDA-approved,,,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
FDA-approved,,,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
FDA-approved,,,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
FDA-approved,,,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
FDA-approved,,,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
FDA-approved,,,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
FDA-approved,,,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
FDA-approved,,,Nc1c2c(nc3ccccc13)CCCC2
FDA-approved,,,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
FDA-approved,,,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
FDA-approved,,,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
FDA-approved,,,Nc1ccncc1
FDA-approved,,,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
FDA-approved,,,CC(=O)OCC[N+](C)(C)C
FDA-approved,,,Cn1c(=O)c2[nH]cnc2n(C)c1=O
FDA-approved,,,Cn1c(=O)c2c(ncn2C)n(C)c1=O
FDA-approved,,,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
FDA-approved,,,O=C=O
FDA-approved,,,Nc1ccc(S(N)(=O)=O)cc1
FDA-approved,,,NCc1ccc(S(N)(=O)=O)cc1
FDA-approved,,,CC(=O)Nc1nnc(S(N)(=O)=O)s1
FDA-approved,,,CC(=O)N=c1sc(S(N)(=O)=O)nn1C
FDA-approved,,,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
FDA-approved,,,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
FDA-approved,,,NS(=O)(=O)Cc1noc2ccccc12
FDA-approved,,,C#CCN[C@@H]1CCc2ccccc21
FDA-approved,,,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
FDA-approved,,,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
FDA-approved,,,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2
FDA-approved,,,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
FDA-approved,,,CC(C)(C)NC(=O)NC(C(=O)N1C[C@H]2C(C1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
FDA-approved,,,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
FDA-approved,,,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
FDA-approved,,,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
FDA-approved,,,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
FDA-approved,,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
FDA-approved,,,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
FDA-approved,,,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
FDA-approved,,,C[C@]12CCC(=O)CC1=CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
FDA-approved,,,COC(=O)NC(C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C
FDA-approved,,,Clc1cccc(Cl)c1NC1=NCCN1
FDA-approved,,,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
FDA-approved,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
FDA-approved,,,CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
FDA-approved,,,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
FDA-approved,,,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O
FDA-approved,,,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
FDA-approved,,,C#CCN(C)[C@H](C)Cc1ccccc1
FDA-approved,,,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
FDA-approved,,,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
FDA-approved,,,Oc1c(C2=CCC(c3ccc(Cl)cc3)CC2)c(O)c2ccccc2c1O
FDA-approved,,,OCc1ccccc1
FDA-approved,,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
FDA-approved,,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
FDA-approved,,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
FDA-approved,,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
FDA-approved,,,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
FDA-approved,,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
FDA-approved,,,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
FDA-approved,,,NC(CC(=O)O)C(=O)O
FDA-approved,,,NCC(=O)O
FDA-approved,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
FDA-approved,,,C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
FDA-approved,,,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
FDA-approved,,,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
FDA-approved,,,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
FDA-approved,,,CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)O
FDA-approved,,,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
FDA-approved,,,COCc1c(-c2ccc(F)cc2)c(=CC[C@@H](O)C[C@@H](O)CC(=O)O)c(C(C)C)nc1=C(C)C
FDA-approved,,,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
FDA-approved,,,CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C
FDA-approved,,,Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1
FDA-approved,,,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
FDA-approved,,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
FDA-approved,,,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
FDA-approved,,,O=C(CCCCCCC(O)=NO)Nc1ccccc1
FDA-approved,,,CCC1=NC(=O)C2CSSCC/C=C/[C@H](CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O
FDA-approved,,,CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
FDA-approved,,,C[C@]12C=CC(=O)CC1=CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
FDA-approved,,,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
FDA-approved,,,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
FDA-approved,,,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
FDA-approved,,,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
FDA-approved,,,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
FDA-approved,,,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
FDA-approved,,,CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
FDA-approved,,,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
FDA-approved,,,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
FDA-approved,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
FDA-approved,,,CC(CS)C(=O)N1CCCC1C(=O)O
FDA-approved,,,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
FDA-approved,,,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12
FDA-approved,,,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
FDA-approved,,,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
FDA-approved,,,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
FDA-approved,,,N=C(N)NCCCC(N)C(=O)O
FDA-approved,,,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
FDA-approved,,,CC(=O)Oc1ccccc1C(=O)O
FDA-approved,,,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
FDA-approved,,,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
FDA-approved,,,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
FDA-approved,,,COC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
FDA-approved,,,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
FDA-approved,,,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
FDA-approved,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
FDA-approved,,,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
FDA-approved,,,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
FDA-approved,,,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
FDA-approved,,,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
FDA-approved,,,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
FDA-approved,,,CN=C(NC#N)NCCSCc1[nH]cnc1C
FDA-approved,,,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
FDA-approved,,,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O
FDA-approved,,,CN/C([CH-][N+](=O)[O-])=[NH+]\CCSCc1ccc(CN(C)C)o1
FDA-approved,,,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
FDA-approved,,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
FDA-approved,,,CC(O)C(=O)O
FDA-approved,,,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
FDA-approved,,,CCCCCCCCCC(=O)O
FDA-approved,,,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
FDA-approved,,,O=C(O)c1cccnc1
FDA-approved,,,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
FDA-approved,,,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
FDA-approved,,,NCC(CC(=O)O)c1ccc(Cl)cc1
FDA-approved,,,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O
FDA-approved,,,CC1=CC(=O)c2ccccc2C1=O
FDA-approved,,,CC(C=Cc1c(C)c(O)c2ccccc2c1O)=CCC[C@H](C)CCC[C@H](C)CCCC(C)C
FDA-approved,,,NC(N)=O
FDA-approved,,,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)[nH]nc2c1
FDA-approved,,,O=S(=O)(Nc1ccccc1)c1cccc(/C=C/C(O)=NO)c1
FDA-approved,,,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
FDA-approved,,,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
FDA-approved,,,CC(C)NCC(O)c1ccc(O)c(O)c1
FDA-approved,,,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
FDA-approved,,,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1
FDA-approved,,,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
FDA-approved,,,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
FDA-approved,,,COCCc1ccc(OCC(O)CNC(C)C)cc1
FDA-approved,,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
FDA-approved,,,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
FDA-approved,,,CC(C)NCC(O)COc1cccc2ccccc12
FDA-approved,,,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
FDA-approved,,,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2
FDA-approved,,,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1
FDA-approved,,,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
FDA-approved,,,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
FDA-approved,,,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
FDA-approved,,,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
FDA-approved,,,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
FDA-approved,,,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
FDA-approved,,,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
FDA-approved,,,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
FDA-approved,,,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
FDA-approved,,,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
FDA-approved,,,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
FDA-approved,,,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
FDA-approved,,,CCCC(=O)O
FDA-approved,,,O=C(O)CCC(=O)O
FDA-approved,,,CC(=O)Nc1ccc(O)cc1
FDA-approved,,,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
FDA-approved,,,CN1CCN(C(=O)Oc2c3nccnc3c(O)n2-c2ccc(Cl)cn2)CC1
FDA-approved,,,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
FDA-approved,,,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
FDA-approved,,,Cl
FDA-approved,,,I
FDA-approved,,,O=C(O)O
FDA-approved,,,O=C(O)O
FDA-approved,,,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
FDA-approved,,,NC(=O)c1cccnc1
FDA-approved,,,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
FDA-approved,,,CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1
FDA-approved,,,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
FDA-approved,,,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
FDA-approved,,,CC(Oc1ccc(Oc2ccc(Cl)cc2)cc1)C(=O)O
FDA-approved,,,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
FDA-approved,,,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(O)=NO)cc1
FDA-approved,,,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
FDA-approved,,,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
FDA-approved,,,Nc1nc2ccc(OC(F)(F)F)cc2s1
FDA-approved,,,CC[C@@H](CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
FDA-approved,,,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
FDA-approved,,,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
FDA-approved,,,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
FDA-approved,,,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
FDA-approved,,,CC(C)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
FDA-approved,,,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
FDA-approved,,,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
FDA-approved,,,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
FDA-approved,,,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
FDA-approved,,,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
FDA-approved,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
FDA-approved,,,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
FDA-approved,,,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
FDA-approved,,,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(C)=O)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O
FDA-approved,,,COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(=O)CO)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O
FDA-approved,,,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
FDA-approved,,,Oc1c(Cl)cc(Cl)c2cccnc12
FDA-approved,,,Oc1c(I)cc(Cl)c2cccnc12
FDA-approved,,,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
FDA-approved,,,CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
FDA-approved,,,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
FDA-approved,,,Brc1c(NC2=NCCN2)ccc2nccnc12
FDA-approved,,,Nc1cc(-c2ccncc2)c[nH]c1=O
FDA-approved,,,CNCCCC12CCC(c3ccccc31)c1ccccc12
FDA-approved,,,CNCCCN1c2ccccc2CCc2ccccc21
FDA-approved,,,NCC(O)c1ccc(O)c(O)c1
FDA-approved,,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
FDA-approved,,,O=c1[nH]cnc2[nH]ncc12
FDA-approved,,,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12
FDA-approved,,,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
FDA-approved,,,CCCCC[C@H](O)/C=C/[C@@H]1C(C/C=C\CCCC(=O)O)C(=O)C[C@H]1O
FDA-approved,,,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
FDA-approved,,,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
FDA-approved,,,CNC[C@H](O)c1cccc(O)c1
FDA-approved,,,CN[C@@H](C)[C@@H](O)c1ccccc1
FDA-approved,,,O=S(=O)(O)c1ccc2ccccc2c1
FDA-approved,,,CCCCC(=O)O
FDA-approved,,,COc1ccc(O)cc1
FDA-approved,,,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)[C@]3(O)C(=O)C1C2=O
FDA-approved,,,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)C3C[C@@H]12
FDA-approved,,,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
